lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
now,now,,adv.,지금 / 이제,We can eat now.,이제 우리는 먹을 수 있어요.,function_word,,,FALSE
then,then,,adv.,그때 / 그러면,We ate lunch and then walked home.,우리는 점심을 먹고 그다음 집까지 걸어갔어요.,function_word,,,FALSE
also,also,,adv.,또한 / ~도,I like tea. I also like coffee.,저는 차를 좋아해요. 커피도 좋아해요.,function_word,,,FALSE
into,into,,prep.,~안으로 / ~속으로,She put the bread into the bag.,그녀는 빵을 가방 안에 넣었어요.,function_word,,,FALSE
only,only,,adj.|adv.,오직 / 단지,I have only one sister.,저는 언니가 한 명뿐이에요.,normal,,,FALSE
look,look,,v.,보다 / ~처럼 보이다,She looks happy today.,그녀는 오늘 행복해 보여요.,normal,,,FALSE
want,want,,v.,원하다 / ~하고 싶다,I want a cup of tea.,저는 차 한 잔을 원해요.,normal,,,FALSE
give,give,,v.,주다,He gave flowers to his mother.,그는 어머니께 꽃을 드렸어요.,normal,,,FALSE
first,first,,adv.|det.|number,첫 번째 / 먼저,She was the first to arrive.,그녀가 가장 먼저 도착했어요.,normal,,,FALSE
new,new,,adj.,새로운,I bought a new bag.,저는 새 가방을 샀어요.,normal,,,FALSE
way,way,,n.,방법 / 길,This is a good way to learn English.,이것은 영어를 배우는 좋은 방법이에요.,normal,,,FALSE
find,find,,v.,찾다 / 발견하다,I found my keys on the table.,저는 테이블 위에서 열쇠를 찾았어요.,normal,,,FALSE
over,over,,adv.|prep.,~위에 / 넘어서,The cat jumped over the fence.,고양이가 울타리를 뛰어넘었어요.,function_word,,,FALSE
any,any,,det.|pron.,어떤 / 조금도,Do you have any questions?,질문이 있으신가요?,function_word,,,FALSE
after,after,,prep.,~후에 / ~다음에,We walked after dinner.,우리는 저녁 식사 후에 산책했어요.,function_word,,,FALSE
day,day,,n.,날 / 하루,Today is a sunny day.,오늘은 맑은 날이에요.,normal,,,FALSE
where,where,,adv.|conj.,어디에 / 어디,Where is my bag?,제 가방이 어디에 있나요?,function_word,,,FALSE
thing,thing,,n.,것 / 물건,I need a few things at the store.,저는 가게에서 몇 가지 물건이 필요해요.,normal,,,FALSE
most,most,,adv.|det.|pron.,가장 / 대부분,She eats most of the rice.,그녀는 밥을 대부분 먹어요.,function_word,,,FALSE
should,should,,modal v.,~해야 한다 / ~하는 게 좋다,You should drink more water.,물을 더 많이 마셔야 해요.,function_word,,,FALSE
need,need,,v.,필요하다 / ~해야 하다,I need some help.,저는 도움이 좀 필요해요.,normal,,,FALSE
much,much,,adv.|det.|pron.,많이 / 많은,I don't eat much sugar.,저는 설탕을 많이 먹지 않아요.,function_word,,,FALSE
right,right,,adj.,올바른 / 맞는,That is the right answer.,그것이 정답이에요.,polysemy_split,(올바른),right,FALSE
right,right,,adv.,바로 / 오른쪽으로,Turn right at the corner.,모퉁이에서 오른쪽으로 도세요.,polysemy_split,(방향),right,FALSE
right,right,,n.,권리 / 오른쪽,Everyone has the right to rest.,모든 사람은 쉴 권리가 있어요.,polysemy_split,(권리),right,FALSE
how,how,,adv.,어떻게 / 얼마나,How are you today?,오늘 어떻게 지내세요?,function_word,,,FALSE
back,back,,adv.|n.,등 / 뒤로,My back hurts today.,오늘 등이 아파요.,normal,,,FALSE
mean,mean,,v.,의미하다,What does this word mean?,이 단어는 무슨 뜻인가요?,normal,,,FALSE
even,even,,adv.,심지어 / ~조차,Even my child can cook rice.,심지어 제 아이도 밥을 지을 수 있어요.,function_word,,,FALSE
may,May,,n.,5월,Her birthday is in May.,그녀의 생일은 5월이에요.,normal,,,FALSE
here,here,,adv.,여기에 / 이리로,Please sit here.,여기에 앉으세요.,function_word,,,FALSE
many,many,,det.|pron.,많은 / 많이,She has many friends.,그녀는 친구가 많아요.,function_word,,,FALSE
last,last,,det.,지난 / 마지막의,I visited her last week.,저는 지난주에 그녀를 방문했어요.,normal,,,FALSE
child,child,,n.,아이 / 어린이,The child is eating lunch.,아이가 점심을 먹고 있어요.,normal,,,FALSE
tell,tell,,v.,말하다 / 알려주다,Please tell me your name.,이름을 알려주세요.,normal,,,FALSE
really,really,,adv.,정말로 / 매우,This cake is really delicious.,이 케이크는 정말 맛있어요.,normal,,,FALSE
call,call,,n.|v.,전화 / 전화하다,She got a call from her daughter.,그녀는 딸에게서 전화를 받았어요.,normal,,,FALSE
before,before,,prep.,~전에,Wash your hands before eating.,먹기 전에 손을 씻으세요.,function_word,,,FALSE
company,company,,n.,회사 / 함께함,She works at a big company.,그녀는 큰 회사에서 일해요.,normal,,,FALSE
through,through,,adv.|prep.,~을 통해 / 지나서,We walked through the park.,우리는 공원을 통해 걸어갔어요.,function_word,,,FALSE
down,down,,adv.|prep.,아래로 / 내려서,She walked down the stairs.,그녀는 계단을 내려갔어요.,function_word,,,FALSE
show,show,,n.|v.,쇼 / 보여주다,She showed me her new dress.,그녀는 저에게 새 드레스를 보여줬어요.,normal,,,FALSE
life,life,,n.,삶 / 생명,She lives a happy life.,그녀는 행복한 삶을 살아요.,normal,,,FALSE
man,man,,n.,남자 / 사람,The man is reading a book.,그 남자는 책을 읽고 있어요.,normal,,,FALSE
change,change,,n.|v.,변화 / 바꾸다,She changed her dress.,그녀는 옷을 갈아입었어요.,normal,,,FALSE
place,place,,n.,장소 / 곳,This is a good place to rest.,여기는 쉬기 좋은 장소예요.,normal,,,FALSE
long,long,,adj.|adv.,긴 / 오래,She has long hair.,그녀는 머리카락이 길어요.,normal,,,FALSE
between,between,,prep.,~사이에,The cat sat between two chairs.,고양이가 두 의자 사이에 앉았어요.,function_word,,,FALSE
feel,feel,,v.,느끼다 / ~한 기분이다,I feel happy today.,오늘 기분이 행복해요.,normal,,,FALSE
too,too,,adv.,너무 / ~도,This bag is too heavy.,이 가방은 너무 무거워요.,function_word,,,FALSE
still,still,,adv.,아직도 / 여전히,She is still sleeping.,그녀는 아직도 자고 있어요.,normal,,,FALSE
problem,problem,,n.,문제 / 어려움,We have a big problem.,우리에게 큰 문제가 생겼어요.,normal,,,FALSE
write,write,,v.,쓰다 / 적다,She writes a letter every week.,그녀는 매주 편지를 써요.,normal,,,FALSE
same,same,,adj.|adv.|pron.,같은 / 똑같이,We go to the same school.,우리는 같은 학교에 다녀요.,normal,,,FALSE
lot,lot,,adv.|det.|pron.,많이 / 많은,She drinks a lot of water.,그녀는 물을 많이 마셔요.,normal,,,FALSE
great,great,,adj.,훌륭한 / 멋진,She is a great cook.,그녀는 훌륭한 요리사예요.,normal,,,FALSE
try,try,,v.,해보다 / 노력하다,He tries to wake up early.,그는 일찍 일어나려고 노력해요.,normal,,,FALSE
leave,leave,,v.,떠나다 / 남겨두다,She leaves home at seven.,그녀는 일곱 시에 집을 나서요.,normal,,,FALSE
number,number,,n.,숫자 / 번호,What is your phone number?,전화번호가 어떻게 되세요?,normal,,,FALSE
both,both,,det.|pron.,둘 다 / 양쪽 모두,Both children are very happy.,두 아이 모두 매우 행복해요.,function_word,,,FALSE
own,own,,adj.|pron.,자신의 / 자기 것,She has her own room.,그녀는 자신만의 방이 있어요.,normal,,,FALSE
part,part,,n.,부분 / 일부,He ate part of the cake.,그는 케이크의 일부를 먹었어요.,normal,,,FALSE
point,point,,n.,요점 / 점수,The girl got ten points.,그 소녀는 10점을 받았어요.,polysemy_split,(점수),point,FALSE
point,point,,n.,요점 / 핵심,I don't understand your point.,당신의 요점을 이해하지 못하겠어요.,polysemy_split,(요점),point,FALSE
little,little,,adj.|det.|pron.,작은 / 조금,She drinks a little milk.,그녀는 우유를 조금 마셔요.,normal,,,FALSE
help,help,,n.|v.,돕다 / 도움,She helps her mom every day.,그녀는 매일 엄마를 도와요.,normal,,,FALSE
ask,ask,,v.,묻다 / 부탁하다,He asks a question in class.,그는 수업 시간에 질문을 해요.,normal,,,FALSE
meet,meet,,v.,만나다,We meet at the park.,우리는 공원에서 만나요.,normal,,,FALSE
start,start,,v.,시작하다,School starts at nine.,학교는 아홉 시에 시작해요.,normal,,,FALSE
talk,talk,,v.,이야기하다 / 말하다,She talks with her friend.,그녀는 친구와 이야기해요.,normal,,,FALSE
something,something,,pron.,무언가 / 어떤 것,I want to eat something warm.,저는 따뜻한 무언가를 먹고 싶어요.,normal,,,FALSE
put,put,,v.,놓다 / 두다,She puts the book on the table.,그녀는 책을 탁자 위에 놓아요.,normal,,,FALSE
another,another,,det.|pron.,또 다른 / 하나 더,Can I have another cup of tea?,차 한 잔 더 마셔도 될까요?,function_word,,,FALSE
become,become,,v.,~이 되다,She wants to become a teacher.,그녀는 선생님이 되고 싶어요.,normal,,,FALSE
interest,interest,,n.|v.,관심 / 흥미롭게 하다,She has an interest in cooking.,그녀는 요리에 관심이 있어요.,normal,,,FALSE
country,country,,n.,나라 / 시골,She lives in a small country.,그녀는 작은 나라에 살아요.,normal,,,FALSE
old,old,,adj.,나이 든 / 오래된,She has an old cat.,그녀는 나이 든 고양이가 있어요.,normal,,,FALSE
each,each,,adv.|det.|pron.,각각 / 저마다,Each child has a bag.,각각의 아이들은 가방이 있어요.,function_word,,,FALSE
school,school,,n.,학교,The boy walks to school.,그 남자아이는 학교까지 걸어가요.,normal,,,FALSE
late,late,,adj.|adv.,늦은 / 늦게,He came home late.,그는 집에 늦게 왔어요.,normal,,,FALSE
high,high,,adj.,높은,The mountain is very high.,그 산은 매우 높아요.,normal,,,FALSE
different,different,,adj.,다른 / 서로 다른,We like different foods.,우리는 서로 다른 음식을 좋아해요.,normal,,,FALSE
off,off,,adv.|prep.,떨어져서 / 꺼진,Please turn off the light.,불을 꺼 주세요.,normal,,,FALSE
next,next,,adj.|adv.,다음의 / 바로 옆의,She sits next to me.,그녀는 내 옆에 앉아요.,normal,,,FALSE
end,end,,n.|v.,끝 / 끝나다,The movie ends at nine.,영화는 아홉 시에 끝나요.,normal,,,FALSE
live,live,,v.,살다 / 거주하다,She lives with her family.,그녀는 가족과 함께 살아요.,normal,,,FALSE
why,why,,adv.,왜 / 이유,Why are you sad today?,오늘 왜 슬퍼요?,normal,,,FALSE
world,world,,n.,세계 / 세상,She wants to see the world.,그녀는 세상을 보고 싶어해요.,normal,,,FALSE
week,week,,n.,주 / 일주일,I exercise three times a week.,저는 일주일에 세 번 운동해요.,normal,,,FALSE
play,play,,n.|v.,놀다 / 연주하다,The children play in the yard.,아이들은 마당에서 놀아요.,normal,,,FALSE
must,must,,modal v.,~해야 한다 / 틀림없다,You must wash your hands.,손을 씻어야 해요.,function_word,,,FALSE
home,home,,adv.|n.,집 / 집으로,She goes home after work.,그녀는 일이 끝난 후 집에 가요.,normal,,,FALSE
never,never,,adv.,절대 ~하지 않다,He never eats fast food.,그는 패스트푸드를 절대 먹지 않아요.,normal,,,FALSE
include,include,,v.,포함하다,The meal includes soup and rice.,식사에는 국과 밥이 포함되어 있어요.,normal,,,FALSE
course,course,,n.,강좌 / 과정,She takes a cooking course.,그녀는 요리 강좌를 들어요.,normal,,,FALSE
house,house,,n.,집 / 주택,They have a big house.,그들은 큰 집이 있어요.,normal,,,FALSE
report,report,,n.,보고서 / 보도,She reads the weather report.,그녀는 날씨 보도를 읽어요.,normal,,,FALSE
group,group,,n.,그룹 / 무리,We work in a small group.,우리는 작은 그룹으로 일해요.,normal,,,FALSE
woman,woman,,n.,여성 / 여자,The woman smiles at me.,그 여성이 저에게 미소를 지어요.,normal,,,FALSE
around,around,,adv.|prep.,주변에 / 대략,She walks around the park.,그녀는 공원 주변을 걸어요.,normal,,,FALSE
book,book,,n.,책 / 예약하다,She reads a book every night.,그녀는 매일 밤 책을 읽어요.,normal,,,FALSE
family,family,,adj.|n.,가족,We eat dinner as a family.,우리는 가족이 함께 저녁을 먹어요.,normal,,,FALSE
let,let,,v.,~하게 하다 / 허락하다,She lets her son play outside.,그녀는 아들이 밖에서 놀게 해줘요.,normal,,,FALSE
again,again,,adv.,다시 / 또,Please say that again.,다시 한번 말해 주세요.,normal,,,FALSE
kind,kind,,n.,종류 / 친절한,What kind of food do you like?,어떤 종류의 음식을 좋아하세요?,normal,,,FALSE
keep,keep,,v.,유지하다 / 계속하다,She keeps her room clean.,그녀는 방을 깨끗하게 유지해요.,normal,,,FALSE
hear,hear,,v.,듣다 / 들리다,I can hear the birds singing.,새들이 노래하는 소리가 들려요.,normal,,,FALSE
every,every,,det.,모든 / 매~,She calls her mom every day.,그녀는 매일 엄마에게 전화해요.,function_word,,,FALSE
question,question,,n.,질문 / 문제,She asks a simple question.,그녀는 간단한 질문을 해요.,normal,,,FALSE
during,during,,prep.,~하는 동안,She sleeps during the day.,그녀는 낮 동안 잠을 자요.,normal,,,FALSE
always,always,,adv.,항상 / 언제나,He always eats breakfast.,그는 항상 아침을 먹어요.,normal,,,FALSE
big,big,,adj.,큰 / 중요한,She has a big dog.,그녀는 큰 개를 키워요.,normal,,,FALSE
small,small,,adj.,작은,He has a small bag.,그는 작은 가방을 가지고 있어요.,normal,,,FALSE
study,study,,n.|v.,공부하다 / 공부,I study English every day.,저는 매일 영어를 공부해요.,normal,,,FALSE
follow,follow,,v.,따라가다 / 따르다,The girl followed her mom.,그 소녀는 엄마를 따라갔어요.,normal,,,FALSE
begin,begin,,v.,시작하다,The class begins at nine.,수업은 9시에 시작해요.,normal,,,FALSE
important,important,,adj.,중요한,Water is important for us.,물은 우리에게 중요해요.,normal,,,FALSE
run,run,,v.,달리다 / 운영하다,The boy runs in the park.,그 소년은 공원에서 달려요.,normal,,,FALSE
under,under,,adv.|prep.,아래에 / ~보다 적은,The cat is under the table.,고양이가 탁자 아래에 있어요.,function_word,,,FALSE
turn,turn,,n.|v.,돌다 / 차례,She turned left at the corner.,그녀는 모퉁이에서 왼쪽으로 돌았어요.,polysemy_split,(돌다),turn,FALSE
turn,turn,,n.|v.,차례 / 순서,It is my turn now.,지금은 제 차례예요.,polysemy_split,(차례),turn,FALSE
few,few,,adj.|det.|pron.,거의 없는 / 몇 안 되는,I have a few friends here.,저는 여기에 친구가 몇 명 있어요.,function_word,,,FALSE
bring,bring,,v.,가져오다 / 데려오다,He brought flowers for me.,그가 저를 위해 꽃을 가져왔어요.,normal,,,FALSE
early,early,,adj.|adv.,이른 / 일찍,She wakes up early every day.,그녀는 매일 일찍 일어나요.,normal,,,FALSE
hand,hand,,n.,손,She washed her hands.,그녀는 손을 씻었어요.,normal,,,FALSE
move,move,,v.,움직이다 / 이사하다,We moved to a new house.,저희는 새 집으로 이사했어요.,normal,,,FALSE
money,money,,n.,돈,I need money to buy food.,저는 음식을 사려고 돈이 필요해요.,normal,,,FALSE
fact,fact,,n.,사실,That is a simple fact.,그것은 간단한 사실이에요.,normal,,,FALSE
however,however,,adv.,그러나 / 하지만,"I was tired. However, I cooked dinner.",저는 피곤했어요. 그러나 저녁을 요리했어요.,function_word,,,FALSE
area,area,,n.,지역 / 구역,She lives in a quiet area.,그녀는 조용한 지역에 살아요.,normal,,,FALSE
name,name,,n.|v.,이름 / 이름을 짓다,My name is Mina.,제 이름은 미나예요.,normal,,,FALSE
read,read,,v.,읽다,I read a book every night.,저는 매일 밤 책을 읽어요.,normal,,,FALSE
friend,friend,,n.,친구,She called her old friend.,그녀는 오랜 친구에게 전화했어요.,normal,,,FALSE
month,month,,n.,달 / 한 달,I visit my mom every month.,저는 매달 엄마를 방문해요.,normal,,,FALSE
large,large,,adj.,큰 / 넓은,They live in a large house.,그들은 큰 집에 살아요.,normal,,,FALSE
business,business,,n.,사업 / 업무,She runs a small business.,그녀는 작은 사업을 운영해요.,normal,,,FALSE
without,without,,prep.,~없이,I drink coffee without sugar.,저는 설탕 없이 커피를 마셔요.,function_word,,,FALSE
information,information,,n.,정보,She found useful information online.,그녀는 온라인에서 유용한 정보를 찾았어요.,normal,,,FALSE
open,open,,adj.|v.,열다 / 열린,He opened the window.,그가 창문을 열었어요.,normal,,,FALSE
order,order,,n.,순서 / 명령,Please stand in order.,순서대로 서 주세요.,polysemy_split,(순서·명령),order,FALSE
order,order,,v.,주문하다 / 명령하다,She ordered soup and bread.,그녀는 수프와 빵을 주문했어요.,polysemy_split,(주문하다),order,FALSE
word,word,,n.,단어 / 말,I learned a new word today.,오늘 새 단어를 배웠어요.,normal,,,FALSE
market,market,,n.,시장,We buy fruit at the market.,저희는 시장에서 과일을 사요.,normal,,,FALSE
pay,pay,,v.,돈을 내다 / 지불하다,I paid for the food.,저는 음식값을 냈어요.,normal,,,FALSE
build,build,,v.,짓다 / 만들다,They built a new school.,그들은 새 학교를 지었어요.,normal,,,FALSE
believe,believe,,v.,믿다 / 생각하다,I believe she is kind.,저는 그녀가 친절하다고 믿어요.,normal,,,FALSE
second,second,,det.,두 번째의,She lives on the second floor.,그녀는 2층에 살아요.,polysemy_split,(두 번째),second,FALSE
second,second,,n.,초 (시간 단위),"Wait just one second, please.","잠깐만요, 1초만 기다려 주세요.",polysemy_split,(시간: 초),second,FALSE
second,second,,number,2번 / 두 번째,He finished in second place.,그는 2등으로 들어왔어요.,polysemy_split,(순위: 2등),second,FALSE
yes,yes,,exclam.,네 / 그렇습니다,"Yes, I like this food.","네, 저는 이 음식이 좋아요.",function_word,,,FALSE
love,love,,n.|v.,사랑하다 / 사랑,I love my family.,저는 가족을 사랑해요.,normal,,,FALSE
job,job,,n.,직업 / 일,She has a new job.,그녀는 새 직업이 생겼어요.,normal,,,FALSE
plan,plan,,n.|v.,계획 / 계획하다,We have a plan for the trip.,저희는 여행 계획이 있어요.,normal,,,FALSE
result,result,,n.,결과,The test result was good.,시험 결과가 좋았어요.,normal,,,FALSE
away,away,,adv.,떨어져 / 멀리,She walked away slowly.,그녀는 천천히 멀어졌어요.,function_word,,,FALSE
example,example,,n.,예 / 예시,"Give me an example, please.",예시를 하나 들어 주세요.,normal,,,FALSE
happen,happen,,v.,일어나다 / 발생하다,What happened this morning?,오늘 아침에 무슨 일이 있었나요?,normal,,,FALSE
young,young,,adj.,젊은 / 어린,She looks very young.,그녀는 매우 젊어 보여요.,normal,,,FALSE
close,close,,v.,닫다,Please close the door.,문을 닫아 주세요.,normal,,,FALSE
program,program,,n.,프로그램 / 방송,I watched a cooking program.,저는 요리 프로그램을 봤어요.,normal,,,FALSE
buy,buy,,v.,사다 / 구입하다,She bought new shoes.,그녀는 새 신발을 샀어요.,normal,,,FALSE
understand,understand,,v.,이해하다,I understand your question.,저는 당신의 질문을 이해해요.,normal,,,FALSE
thank,thank,,v.,감사하다 / 고마워하다,I thanked her for the gift.,저는 선물에 대해 그녀에게 감사했어요.,normal,,,FALSE
far,far,,adv.,멀리 / 훨씬,The school is not far away.,학교는 멀지 않아요.,normal,,,FALSE
today,today,,adv.|n.,오늘,Today is my birthday.,오늘은 제 생일이에요.,function_word,,,FALSE
hour,hour,,n.,시간 (1시간),I wait for one hour.,저는 한 시간을 기다려요.,normal,,,FALSE
student,student,,n.,학생,She is a good student.,그녀는 훌륭한 학생이에요.,normal,,,FALSE
face,face,,n.,얼굴,She has a kind face.,그녀는 친절한 얼굴을 가지고 있어요.,normal,,,FALSE
hope,hope,,v.,바라다 / 희망하다,I hope you feel better.,빨리 나으시길 바라요.,normal,,,FALSE
idea,idea,,n.,생각 / 아이디어,She had a great idea.,그녀는 멋진 생각이 떠올랐어요.,normal,,,FALSE
cost,cost,,n.|v.,비용 / 값이 나가다,How much does it cost?,이것은 얼마예요?,normal,,,FALSE
room,room,,n.,방 / 공간,My room is clean and bright.,제 방은 깨끗하고 밝아요.,normal,,,FALSE
until,until,,conj.|prep.,~까지,She waited until her mom came home.,그녀는 엄마가 집에 올 때까지 기다렸어요.,function_word,,,FALSE
reason,reason,,n.,이유 / 이유,What is the reason you are late?,늦은 이유가 뭔가요?,normal,,,FALSE
form,form,,n.|v.,양식 / 만들다,Please fill out this form.,이 양식을 작성해 주세요.,polysemy_split,"(양식, 서류)",,FALSE
form,form,,n.|v.,만들다 / 형성하다,The children formed a circle.,아이들이 원을 만들었어요.,polysemy_split,(만들다),form,FALSE
spend,spend,,v.,(돈을) 쓰다 / (시간을) 보내다,She spends a lot of money on food.,그녀는 음식에 돈을 많이 써요.,normal,,,FALSE
head,head,,n.,머리,He has a pain in his head.,그는 머리가 아파요.,normal,,,FALSE
car,car,,n.,자동차,My dad drives a red car.,우리 아빠는 빨간 자동차를 운전해요.,normal,,,FALSE
learn,learn,,v.,배우다,She is learning English every day.,그녀는 매일 영어를 배우고 있어요.,normal,,,FALSE
